Time,Latitude,Longitude,Satelites,Altitude,Pressure,Internal Temperature,External Temperature,Humidity,TimeElapsed,Wind Direction,Wind Speed,Scaled Pressure,Scaled Temperature
110638,19.1,72.86,12.0,30.6,1007.3,21.7,28.19,49.63,0,70,0,91.82315405651778,18.793333333333333
110638,19.1,72.86,12.0,30.7,1007.4,21.6,28.12,49.67,0,0,0,91.83226982680036,18.746666666666666
110639,19.1,72.86,12.0,30.7,1007.2,21.7,28.05,49.61,1,0,4763656.002232702,91.81403828623519,18.7
110642,19.1,72.86,12.0,29.0,1007.3,21.7,28.05,49.7,4,0,1587885.3340775676,91.82315405651778,18.7
110643,19.1,72.86,12.0,29.0,1007.3,21.7,28.05,49.69,5,0,4763656.002232702,91.82315405651778,18.7
110643,19.1,72.86,12.0,29.2,1007.2,21.7,28.12,49.72,5,0,0,91.81403828623519,18.746666666666666
110644,19.1,72.86,12.0,29.2,1007.3,21.7,28.05,49.71,6,0,4763656.002232702,91.82315405651778,18.7
110647,19.1,72.86,12.0,27.1,1007.3,21.7,28.05,49.94,9,0,1587885.3340775676,91.82315405651778,18.7
110648,19.1,72.86,12.0,27.1,1007.3,21.7,28.12,49.96,10,0,4763656.002232702,91.82315405651778,18.746666666666666
110648,19.1,72.86,12.0,27.0,1007.2,21.7,28.05,49.99,10,0,0,91.81403828623519,18.7
110649,19.1,72.86,12.0,27.0,1007.2,21.7,28.05,49.97,11,0,4763656.002232702,91.81403828623519,18.7
